Price,SMA_20,SMA_50,SMA_100,SMA_200,Momentum_20,Momentum_50,Volume_Uptrend,Golden_Cross,SMA_50_above_200,SMA_20_above_50,SMA_50_above_100,SMA_20_above_200,Perfect_Setup,Abs_30d,Abs_90d,Abs_180d,Rel_30d,Rel_90d,Rel_180d,Ticker
"<span data-order=""2592.70"">2592.70</span>","<span data-order=""2453.92"">2453.92</span>","<span data-order=""2396.29"">2396.29</span>","<span data-order=""2471.80"">2471.80</span>","<span data-order=""2403.08"">2403.08</span>","<span data-order=""13.28"">13.28</span>","<span data-order=""0.19"">0.19</span>",True,False,False,True,False,True,False,"<span data-order=""9.07"">9.07%</span>","<span data-order=""3.14"">3.14%</span>","<span data-order=""8.97"">8.97%</span>","<span data-order=""9.92"">9.92%</span>","<span data-order=""3.10"">3.10%</span>","<span data-order=""1.39"">1.39%</span>",ADANIENT.NS
"<span data-order=""1798.80"">1798.80</span>","<span data-order=""1815.37"">1815.37</span>","<span data-order=""1826.52"">1826.52</span>","<span data-order=""1813.08"">1813.08</span>","<span data-order=""1653.41"">1653.41</span>","<span data-order=""-0.37"">-0.37</span>","<span data-order=""-0.22"">-0.22</span>",True,False,True,False,True,True,False,"<span data-order=""-3.45"">-3.45%</span>","<span data-order=""0.01"">0.01%</span>","<span data-order=""22.73"">22.73%</span>","<span data-order=""-2.59"">-2.59%</span>","<span data-order=""-0.04"">-0.04%</span>","<span data-order=""15.15"">15.15%</span>",SBILIFE.NS
"<span data-order=""300.05"">300.05</span>","<span data-order=""308.45"">308.45</span>","<span data-order=""316.11"">316.11</span>","<span data-order=""308.04"">308.04</span>","<span data-order=""280.05"">280.05</span>","<span data-order=""-4.35"">-4.35</span>","<span data-order=""-5.27"">-5.27</span>",False,False,True,False,True,True,False,"<span data-order=""-8.65"">-8.65%</span>","<span data-order=""3.13"">3.13%</span>","<span data-order=""12.91"">12.91%</span>","<span data-order=""-7.79"">-7.79%</span>","<span data-order=""3.09"">3.09%</span>","<span data-order=""5.33"">5.33%</span>",JIOFIN.NS
"<span data-order=""2063.30"">2063.30</span>","<span data-order=""2000.43"">2000.43</span>","<span data-order=""1998.16"">1998.16</span>","<span data-order=""2066.23"">2066.23</span>","<span data-order=""2015.62"">2015.62</span>","<span data-order=""5.26"">5.26</span>","<span data-order=""-4.49"">-4.49</span>",True,False,False,True,False,False,False,"<span data-order=""2.25"">2.25%</span>","<span data-order=""-0.42"">-0.42%</span>","<span data-order=""18.00"">18.00%</span>","<span data-order=""3.11"">3.11%</span>","<span data-order=""-0.46"">-0.46%</span>","<span data-order=""10.42"">10.42%</span>",KOTAKBANK.NS
"<span data-order=""3670.30"">3670.30</span>","<span data-order=""3626.94"">3626.94</span>","<span data-order=""3606.14"">3606.14</span>","<span data-order=""3599.69"">3599.69</span>","<span data-order=""3482.60"">3482.60</span>","<span data-order=""1.93"">1.93</span>","<span data-order=""5.94"">5.94</span>",True,False,True,True,True,True,False,"<span data-order=""1.60"">1.60%</span>","<span data-order=""1.60"">1.60%</span>","<span data-order=""6.99"">6.99%</span>","<span data-order=""2.45"">2.45%</span>","<span data-order=""1.56"">1.56%</span>","<span data-order=""-0.59"">-0.59%</span>",LT.NS
"<span data-order=""3463.40"">3463.40</span>","<span data-order=""3555.28"">3555.28</span>","<span data-order=""3382.59"">3382.59</span>","<span data-order=""3237.11"">3237.11</span>","<span data-order=""3046.64"">3046.64</span>","<span data-order=""5.40"">5.40</span>","<span data-order=""6.33"">6.33</span>",False,False,True,True,True,True,False,"<span data-order=""2.62"">2.62%</span>","<span data-order=""16.46"">16.46%</span>","<span data-order=""14.49"">14.49%</span>","<span data-order=""3.47"">3.47%</span>","<span data-order=""16.42"">16.42%</span>","<span data-order=""6.90"">6.90%</span>",M&M.NS
"<span data-order=""16029.00"">16029.00</span>","<span data-order=""15584.25"">15584.25</span>","<span data-order=""14224.10"">14224.10</span>","<span data-order=""13314.91"">13314.91</span>","<span data-order=""12546.25"">12546.25</span>","<span data-order=""8.00"">8.00</span>","<span data-order=""30.61"">30.61</span>",True,False,True,True,True,True,False,"<span data-order=""12.71"">12.71%</span>","<span data-order=""30.52"">30.52%</span>","<span data-order=""40.92"">40.92%</span>","<span data-order=""13.57"">13.57%</span>","<span data-order=""30.48"">30.48%</span>","<span data-order=""33.34"">33.34%</span>",MARUTI.NS
"<span data-order=""340.45"">340.45</span>","<span data-order=""334.83"">334.83</span>","<span data-order=""333.19"">333.19</span>","<span data-order=""333.71"">333.71</span>","<span data-order=""331.92"">331.92</span>","<span data-order=""2.26"">2.26</span>","<span data-order=""0.69"">0.69</span>",False,False,True,True,False,True,False,"<span data-order=""0.55"">0.55%</span>","<span data-order=""1.58"">1.58%</span>","<span data-order=""16.22"">16.22%</span>","<span data-order=""1.41"">1.41%</span>","<span data-order=""1.54"">1.54%</span>","<span data-order=""8.64"">8.64%</span>",NTPC.NS
"<span data-order=""1166.40"">1166.40</span>","<span data-order=""1191.73"">1191.73</span>","<span data-order=""1163.06"">1163.06</span>","<span data-order=""1181.35"">1181.35</span>","<span data-order=""1149.26"">1149.26</span>","<span data-order=""-2.38"">-2.38</span>","<span data-order=""-4.53"">-4.53</span>",False,False,True,True,False,True,False,"<span data-order=""-1.10"">-1.10%</span>","<span data-order=""-3.16"">-3.16%</span>","<span data-order=""6.24"">6.24%</span>","<span data-order=""-0.25"">-0.25%</span>","<span data-order=""-3.20"">-3.20%</span>","<span data-order=""-1.34"">-1.34%</span>",NESTLEIND.NS
"<span data-order=""243.04"">243.04</span>","<span data-order=""236.09"">236.09</span>","<span data-order=""236.20"">236.20</span>","<span data-order=""239.89"">239.89</span>","<span data-order=""240.05"">240.05</span>","<span data-order=""2.19"">2.19</span>","<span data-order=""-0.85"">-0.85</span>",True,False,False,False,False,False,False,"<span data-order=""2.53"">2.53%</span>","<span data-order=""0.68"">0.68%</span>","<span data-order=""-4.30"">-4.30%</span>","<span data-order=""3.38"">3.38%</span>","<span data-order=""0.64"">0.64%</span>","<span data-order=""-11.88"">-11.88%</span>",ONGC.NS
