Price,SMA_20,SMA_50,SMA_100,SMA_200,Momentum_20,Momentum_50,Volume_Uptrend,Golden_Cross,SMA_50_above_200,SMA_20_above_50,SMA_50_above_100,SMA_20_above_200,Perfect_Setup,Abs_30d,Abs_90d,Abs_180d,Rel_30d,Rel_90d,Rel_180d,Ticker
1039.0,1051.31,1058.19,1086.33,1054.27,-0.12,-9.19,False,False,True,False,False,False,False,-3.94%,1.37%,-7.20%,-3.08%,1.33%,-14.78%,360ONE.NS
29125.0,30245.5,30629.61,29896.83,29393.79,-6.93,-2.1,False,False,True,False,True,True,False,-6.53%,-2.78%,-1.42%,-5.68%,-2.82%,-9.00%,3MINDIA.NS
5196.5,5247.8,5223.0,5562.27,5658.11,0.16,-9.53,False,False,False,True,False,False,False,1.07%,-13.44%,-14.78%,1.92%,-13.48%,-22.36%,ABB.NS
1829.9,1849.07,1832.31,1872.94,1913.49,-0.72,-6.59,False,False,False,True,False,False,False,-1.08%,-4.31%,-5.60%,-0.23%,-4.35%,-13.18%,ACC.NS
288.3,295.83,287.98,271.78,241.31,-3.43,1.57,False,False,True,True,True,True,False,0.31%,13.52%,26.96%,1.17%,13.48%,19.38%,ACMESOLAR.NS
3239.6,3082.52,3112.24,3234.22,3284.34,5.37,-3.31,True,False,False,False,False,False,False,4.13%,-3.49%,-3.20%,4.98%,-3.53%,-10.78%,AIAENG.NS
1739.0,1686.71,1637.19,1709.67,1609.4,6.05,4.72,True,False,True,True,False,True,False,7.30%,-5.07%,14.75%,8.16%,-5.11%,7.17%,APLAPOLLO.NS
726.85,714.93,730.63,746.01,660.76,0.73,-8.56,True,False,True,False,False,True,False,-4.17%,4.13%,26.53%,-3.32%,4.09%,18.95%,AUBANK.NS
263.0,260.48,259.28,262.09,267.17,-1.59,-6.24,False,False,False,True,False,False,False,1.15%,-0.21%,-1.50%,2.01%,-0.25%,-9.08%,AWL.NS
509.9,521.0,512.48,481.73,451.04,1.6,1.03,False,False,True,True,True,True,False,1.48%,13.50%,20.56%,2.34%,13.46%,12.98%,AADHARHFC.NS
380.0,385.04,390.63,427.4,421.96,-1.41,-9.92,False,False,False,False,False,False,False,-0.50%,-20.45%,-6.92%,0.36%,-20.49%,-14.50%,AARTIIND.NS
1638.9,1623.92,1672.81,1773.06,1784.48,7.26,-13.91,False,False,False,False,False,False,False,-2.62%,-7.17%,-1.72%,-1.77%,-7.21%,-9.30%,AAVAS.NS
29875.0,30578.75,31997.76,31971.27,30440.58,-8.29,-11.25,True,False,True,False,True,True,False,-8.46%,0.57%,7.28%,-7.60%,0.53%,-0.30%,ABBOTINDIA.NS
1072.6,1111.95,1080.63,1149.89,1206.23,0.1,-5.76,False,False,False,True,False,False,False,7.37%,-20.68%,-19.92%,8.22%,-20.72%,-27.50%,ACE.NS
896.3,846.01,820.25,847.65,822.08,17.36,2.83,True,False,False,True,False,True,False,8.75%,1.95%,30.13%,9.60%,1.91%,22.55%,ADANIENSOL.NS
2594.3,2454.0,2396.32,2471.82,2403.09,13.35,0.25,True,False,False,True,False,True,False,9.13%,3.21%,9.03%,9.99%,3.17%,1.45%,ADANIENT.NS
1066.2,1012.93,980.48,992.02,970.84,13.95,5.18,True,False,True,True,False,True,False,10.30%,6.42%,5.89%,11.16%,6.38%,-1.69%,ADANIGREEN.NS
1422.9,1396.54,1369.87,1394.21,1277.4,6.79,0.15,False,False,True,True,False,True,False,4.49%,1.33%,27.99%,5.34%,1.29%,20.41%,ADANIPORTS.NS
152.9,137.39,125.75,119.9,111.55,25.47,29.46,True,False,True,True,True,True,False,28.23%,38.82%,42.36%,29.08%,38.78%,34.78%,ADANIPOWER.NS
641.3,632.39,620.65,641.51,635.64,7.39,-0.87,True,False,False,True,False,False,False,3.78%,-4.67%,-4.22%,4.63%,-4.72%,-11.80%,ATGL.NS
301.0,288.56,279.44,264.3,221.05,7.79,12.08,True,False,True,True,True,True,False,3.33%,37.43%,72.62%,4.19%,37.39%,65.04%,ABCAPITAL.NS
87.2,88.34,81.51,91.88,178.03,7.11,15.28,True,False,False,True,False,False,False,15.27%,0.23%,-67.72%,16.12%,0.19%,-75.30%,ABFRL.NS
1644.9,1822.97,1857.97,2060.85,2067.8,-7.44,-22.51,True,False,False,False,False,False,False,-11.31%,-24.99%,-20.56%,-10.45%,-25.03%,-28.14%,ABREL.NS
801.95,827.29,847.56,798.24,734.04,-4.31,-4.67,True,False,True,False,True,True,False,-10.48%,12.71%,5.36%,-9.62%,12.66%,-2.23%,ABSLAMC.NS
786.7,750.18,730.84,758.05,763.65,12.11,3.92,True,False,False,True,False,False,False,6.69%,-1.75%,-2.41%,7.54%,-1.80%,-9.99%,AEGISLOG.NS
